CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
13033,3.9687500000625,13.4,44.8,32.1,6.5,40.8
13035,6.035714285285715,12.1,40.2,33.6,6.5,38.6
13037,4.861111111166667,16.8,46.6,33.7,7.8,46.0
13039,5.893333333399999,11.5,38.1,32.2,6.3,36.5
13043,4.83333333375,13.6,44.0,33.8,7.6,40.1
13045,6.1289308175660375,11.0,36.9,33.2,6.1,35.6
13047,6.0833333333823525,9.4,36.6,33.2,5.7,34.0
13049,4.888888889,13.7,42.2,33.5,7.6,41.9
13051,11.534959349448782,11.6,36.1,33.6,5.5,35.5
13053,5.2666666667,14.2,43.1,33.4,7.1,38.8
13055,5.098484848272727,12.1,39.0,34.0,7.4,38.3
13057,6.950980392176471,9.5,35.1,33.7,5.7,33.3
13059,7.3194444444722215,13.1,37.0,34.2,6.7,37.9
13061,6.111111111,14.2,44.8,32.8,6.5,44.5
13063,9.137566137452382,14.9,45.4,32.7,6.2,41.2
13065,5.380952381142857,14.4,44.9,34.7,7.8,41.9
13067,8.927142857054285,9.2,28.9,30.8,4.8,32.2
13069,5.845679012518518,13.7,41.4,34.4,7.1,41.7
13071,6.011111110733333,13.8,40.4,32.1,7.2,39.1
13073,6.915151515163637,10.9,36.0,32.5,5.8,33.1
13075,5.9222222228,13.3,40.7,34.2,7.0,38.4
13077,6.070175438736841,9.8,44.1,32.6,5.4,32.2
13079,4.1250000001250005,12.1,41.1,34.6,6.6,37.3
13081,6.4333333331,13.5,44.8,33.2,6.9,41.7
13083,5.354166666499999,9.4,36.0,33.5,5.9,34.4
13085,6.2333333334,9.0,34.7,32.7,5.7,32.4
13087,5.706349205952381,13.9,39.8,32.5,7.0,39.2
13089,11.233333333379486,12.0,33.5,33.0,5.4,36.2
13091,4.764705882235295,12.7,44.6,34.1,6.7,39.0
13093,4.370370370444444,13.9,44.0,33.1,6.7,42.5
13095,8.135265700188405,15.7,44.4,31.7,7.1,45.8
13097,6.384848484963636,12.8,42.8,32.5,5.8,37.2
13099,4.48717948723077,14.1,45.1,33.2,6.7,42.4
13101,3.3333333333333335,12.1,41.5,33.2,6.4,37.2
13103,4.825757575636364,9.6,38.6,30.9,5.3,32.6
13105,5.23333333325,12.6,42.4,33.2,6.7,39.5
13107,5.472222222,13.6,42.7,33.6,7.2,41.2
13109,5.9666666664,14.2,44.8,33.6,7.3,41.4
13111,5.8703703705,10.7,38.9,32.4,6.7,32.6
13113,6.629251700755102,9.7,31.3,33.3,4.9,32.5
13115,6.0773809524107145,12.2,40.1,33.7,7.1,37.0
13117,6.475308642046296,8.4,31.3,32.1,4.6,26.3
13119,5.5625000001250005,11.4,36.7,33.4,6.8,35.8
13121,11.55821078417647,10.1,30.0,28.8,4.9,33.8
13123,5.0000000001250005,9.9,36.7,33.8,6.2,32.2
13125,3.6111111109999996,11.1,37.0,33.1,6.8,35.8
13127,7.539393939563636,11.1,35.9,30.5,5.7,37.6
13129,5.649425287310344,12.2,40.0,32.9,7.4,36.7
13131,5.882352941352941,13.2,41.8,33.4,7.1,38.7
13133,5.473684210473684,11.3,39.2,32.7,6.1,37.5
13135,8.751863684753994,12.0,33.3,30.2,5.3,32.1
13137,6.51282051276923,11.3,36.8,33.0,6.6,31.9
13139,6.2555555555555555,11.6,35.0,34.0,6.7,32.7
13141,2.9761904762857143,16.7,47.5,33.3,7.6,47.1
13143,5.215686274470588,9.9,33.8,33.3,6.0,33.7
